,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_checkin_type,previous_delay_at_checkout_in_minutes,delay_status
1291,549701,395266,mobile,ended,-57.0,546447.0,150.0,mobile,-22.0,On time
1292,551070,359800,mobile,ended,-40.0,548225.0,60.0,mobile,184.0,Late
1293,551724,228703,connect,ended,102.0,549401.0,30.0,connect,-5.0,On time
1294,539751,374684,mobile,ended,3.0,537514.0,660.0,mobile,20.0,Late
1295,540382,310444,connect,ended,-120.0,533896.0,210.0,connect,265.0,Late
1296,566333,413083,mobile,ended,11.0,555971.0,510.0,mobile,-30.0,On time
1297,566344,176220,connect,ended,-86.0,561304.0,330.0,connect,-75.0,On time
1298,566831,384942,mobile,ended,-464.0,518025.0,720.0,mobile,132.0,Late
1299,548371,229411,mobile,ended,-43.0,539104.0,270.0,mobile,-29.0,On time
1300,548540,299063,connect,ended,-147.0,549939.0,150.0,connect,-112.0,On time
1301,549328,373864,connect,canceled,,550704.0,120.0,connect,-2.0,On time
1302,551104,366371,connect,ended,7.0,550102.0,30.0,connect,-37.0,On time
1303,551151,396009,connect,ended,156.0,545980.0,480.0,connect,1.0,Late
1304,567863,385128,mobile,ended,31.0,543629.0,30.0,mobile,72.0,Late
1305,540016,357860,connect,ended,16.0,542394.0,570.0,connect,-9.0,On time
1306,541068,389147,mobile,ended,3.0,537097.0,210.0,mobile,-722.0,On time
1307,541215,374486,mobile,ended,47.0,539938.0,180.0,mobile,144.0,Late
1308,541363,381123,mobile,ended,-46.0,540040.0,120.0,mobile,89.0,Late
1309,541531,356673,mobile,ended,130.0,539422.0,0.0,mobile,92.0,Late
1310,541570,358567,connect,ended,-112.0,550224.0,720.0,connect,-7.0,On time
1311,543223,376311,connect,canceled,,560879.0,600.0,connect,21.0,Late
1312,543512,406388,mobile,ended,24.0,565648.0,600.0,mobile,-179.0,On time
1313,543535,371572,connect,ended,-312.0,548202.0,390.0,connect,29.0,Late
1314,543805,334190,connect,ended,-130.0,543980.0,0.0,connect,-42.0,On time
1315,544135,297119,mobile,ended,14.0,539618.0,120.0,mobile,101.0,Late
1316,544190,275062,mobile,ended,,542797.0,690.0,connect,-73.0,On time
1317,544677,339215,mobile,ended,56.0,544679.0,0.0,mobile,51.0,Late
1318,544891,392368,connect,ended,-133.0,546533.0,30.0,connect,-276.0,On time
1319,548118,408506,mobile,ended,9.0,544336.0,720.0,mobile,-16.0,On time
